date,ASML,NVDA,INTC,AMD,ARM,AMZN,AAPL,NET,MSFT,JPM,SPY,GS,MS,UBS,LMT,RTX,GE,BA,GD,PEP,KO,BATS.LON,SHEL.LON,USDEUR,ASML_USD_EUR,NVDA_USD_EUR,INTC_USD_EUR,AMD_USD_EUR,ARM_USD_EUR,AMZN_USD_EUR,AAPL_USD_EUR,NET_USD_EUR,MSFT_USD_EUR,JPM_USD_EUR,SPY_USD_EUR,GS_USD_EUR,MS_USD_EUR,UBS_USD_EUR,LMT_USD_EUR,RTX_USD_EUR,GE_USD_EUR,BA_USD_EUR,GD_USD_EUR,PEP_USD_EUR,KO_USD_EUR,GBPEUR,BATS.LON_GBP_EUR,SHEL.LON_GBP_EUR
2025-11-28,1060.0,177.0,40.56,217.53,135.56,233.22,278.85,200.21,492.01,313.08,683.39,826.04,169.66,38.6,457.86,174.91,298.45,189.0,341.63,148.74,73.12,44.21,27.835,0.8623,914.0379999999999,152.62709999999998,34.974888,187.57611899999998,116.893388,201.105606,240.452355,172.641083,424.260223,269.96888399999995,589.287197,712.2942919999999,146.29781799999998,33.28478,394.812678,150.824893,257.353435,162.97469999999998,294.58754899999997,128.258502,63.051376,1.14134,50.458641400000005,31.769198900000003
2025-11-27,,,,,,,,,,,,,,,,,,,,,,43.4,27.53,0.8624,,,,,,,,,,,,,,,,,,,,,,1.14173,49.551081999999994,31.431826899999997
2025-11-26,1040.97,180.26,36.81,214.24,132.61,229.16,277.55,196.99,485.5,307.64,679.68,816.01,167.94,38.05,454.16,173.19,296.62,186.92,340.04,147.98,72.88,43.57,27.665,0.8623,897.628431,155.43819799999997,31.741263,184.739152,114.349603,197.60466799999998,239.331365,169.864477,418.64664999999997,265.277972,586.0880639999999,703.6454229999999,144.814662,32.810514999999995,391.622168,149.341737,255.77542599999998,161.18111599999997,293.216492,127.60315399999999,62.84442399999999,1.14169,49.74343330000001,31.584853850000002
2025-11-25,1003.22,177.82,35.83,206.13,131.44,229.67,276.97,197.49,476.99,303.0,675.02,802.32,165.43,37.59,452.41,172.15,293.44,182.44,341.07,146.11,72.61,43.14,27.66,0.8642,866.982724,153.672044,30.964285999999998,178.137546,113.590448,198.48081399999998,239.35747400000002,170.670858,412.214758,261.8526,583.3522839999999,693.364944,142.964606,32.485278,390.97272200000003,148.77203,253.590848,157.664648,294.75269399999996,126.26826200000001,62.749562,1.13781,49.0851234,31.4718246
2025-11-24,987.82,182.55,35.79,215.05,134.71,226.28,275.92,193.99,474.0,298.0,668.73,790.71,162.83,36.79,451.06,173.21,294.05,179.12,338.13,145.5,72.59,41.96,27.72,0.8679,857.328978,158.435145,31.062141,186.641895,116.914809,196.388412,239.47096800000003,168.363921,411.3846,258.6342,580.390767,686.257209,141.32015700000002,31.930041,391.47497400000003,150.328959,255.205995,155.458248,293.463027,126.27945,63.000861,1.13721,47.7173316,31.5234612
2025-11-21,966.57,178.88,34.5,203.78,131.57,220.69,271.49,186.38,472.12,298.02,659.03,774.03,158.17,37.07,460.78,169.68,287.44,179.7,340.34,146.33,72.95,42.27,27.85,0.8685,839.4660450000001,155.35728,29.963250000000002,176.98293,114.268545,191.669265,235.78906500000002,161.87103000000002,410.03622,258.83037,572.367555,672.245055,137.370645,32.195295,400.18743,147.36708000000002,249.64164000000002,156.06945,295.58529,127.08760500000002,63.35707500000001,1.13721,48.069866700000006,31.671298500000002
2025-11-20,981.04,180.64,33.62,206.02,132.53,217.14,266.25,191.39,478.43,298.38,652.53,773.7,158.7,36.79,468.26,172.040540032872,290.62,179.38,339.44,146.1,71.21,41.83,28.135,0.8673,850.8559919999999,156.66907199999997,29.158625999999998,178.681146,114.943269,188.32552199999998,230.918625,165.99254699999997,414.942339,258.784974,565.939269,671.0300100000001,137.64050999999998,31.907967,406.121898,149.2107603705099,252.054726,155.57627399999998,294.39631199999997,126.71252999999999,61.76043299999999,1.13356,47.4168148,31.892710599999997
2025-11-19,1039.33,186.52,35.11,223.55,136.99,222.69,268.56,196.2,486.195230108065,303.27,662.63,785.99,162.29,38.2,469.91,173.076388823668,300.82,185.7,343.06,147.11,71.11,41.73,27.94,0.8666,900.683378,161.63823200000002,30.426326,193.72843000000003,118.71553400000002,192.983154,232.73409600000002,170.02692,421.33678641164914,262.813782,574.2351580000001,681.1389340000001,140.640514,33.10412,407.22400600000003,149.9879985545907,260.690612,160.92762,297.295796,127.48552600000002,61.623926000000004,1.13143,47.21457389999999,31.6121542
2025-11-18,1004.06,181.36,34.33,230.29,136.04,222.55,267.44,196.53,492.85256748863,299.41,660.08,776.3,159.83,38.03,474.72,174.022596853721,296.01,189.63,341.29,148.77,71.22,41.28,28.175,0.8633,866.804998,156.56808800000002,29.637088999999996,198.80935699999998,117.44333199999998,192.127415,230.88095199999998,169.664349,425.4796215129342,258.480653,569.847064,670.1797899999999,137.98123900000002,32.831299,409.825776,150.23370786381733,255.54543299999997,163.70757899999998,294.635657,128.433141,61.48422599999999,1.13455,46.834224,31.96594625
2025-11-17,1020.0,186.6,34.71,240.52,140.26,232.87,267.46,202.25,506.52655881003,300.37,665.67,775.56,159.45,38.25,470.78,174.928964545668,300.13,191.81,341.78,147.83,70.68,41.59,28.58,0.8626,879.8520000000001,160.96116,29.940846,207.472552,120.988276,200.87366200000002,230.710996,174.46085,436.9298096295319,259.09916200000004,574.206942,668.998056,137.54157,32.99445,406.094828,150.89372481709324,258.892138,165.455306,294.819428,127.51815800000001,60.968568000000005,1.13475,47.1942525,32.431155
2025-11-14,1006.98,190.17,35.52,246.81,139.77,234.69,272.41,210.6,509.211451996495,303.61,671.93,790.91,163.86,38.92,465.77,174.869204038507,304.82,194.52,344.25,145.85,71.16,40.72,28.58,0.8604,866.4055920000001,163.622268,30.561408000000004,212.35532400000002,120.25810800000002,201.927276,234.38156400000003,181.20024,438.12553329778433,261.226044,578.128572,680.498964,140.98514400000002,33.486768000000005,400.748508,150.45746315473144,262.267128,167.36500800000002,296.1927,125.48934,61.226064,1.13298,46.1349456,32.3805684
2025-11-13,1019.86,186.86,35.91,247.96,140.31,237.58,272.95,213.54,502.334532273543,309.48,672.04,805.5,165.61,39.07,455.85,173.265630429678,304.17,194.58,344.06,145.02,71.07,41.47,28.595,0.8595,876.5696700000001,160.60617000000002,30.864645,213.12162,120.596445,204.20001000000002,234.600525,183.53763,431.7565304891102,265.99806,577.61838,692.32725,142.34179500000002,33.580665,391.80307500000004,148.92180935430824,261.434115,167.24151,295.71957000000003,124.64469000000001,61.084664999999994,1.13359,47.0099773,32.41500605
2025-11-12,1037.33,193.8,37.89,258.89,148.75,244.2,273.47,225.68,510.169629490549,320.41,683.38,838.97,169.92,39.6,457.04,176.980741958206,309.02,195.5,349.45,144.39,71.51,42.41,29.086418,0.8624,894.593392,167.13312000000002,32.676336,223.266736,128.282,210.59808,235.84052800000003,194.62643200000002,439.9702884726495,276.32158400000003,589.3469120000001,723.527728,146.539008,34.15104,394.15129600000006,152.62819186475687,266.498848,168.59920000000002,301.36568,124.521936,61.67022400000001,1.13233,48.022115299999996,32.93542369394
2025-11-11,1022.42,193.16,37.88,237.52,149.74,249.1,275.25,234.95,507.714299662035,315.62,683.0,810.31,166.5,38.98,457.07,178.504634890819,310.72,195.21,352.42,145.08,71.61,42.44,29.041642000000003,0.8633,882.655186,166.75502799999998,32.701804,205.051016,129.270542,215.04802999999998,237.623325,202.83233499999997,438.30975489823476,272.474746,589.6338999999999,699.5406229999999,143.73945,33.651433999999995,394.588531,154.10305130124405,268.244576,168.524793,304.244186,125.24756400000001,61.820913,1.13524,48.179585599999996,32.96923366408
