contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY251126C00500000,SPY,2025-11-26,500.00,call,180.76,180.12,178.72,2,181.53,10,15,15,2025-11-26,2.65384,0.98871,0.00031,-1.45086,0.01054,0.01348
SPY251126P00500000,SPY,2025-11-26,500.00,put,0.01,0.01,0.00,0,0.01,2545,1,658,2025-11-26,1.83435,-0.00058,0.00003,-0.06687,0.00073,-0.00001
SPY251126C00505000,SPY,2025-11-26,505.00,call,0.00,175.12,173.72,2,176.52,10,0,0,2025-11-26,2.57579,0.98844,0.00033,-1.43787,0.01075,0.01361
SPY251126P00505000,SPY,2025-11-26,505.00,put,0.00,0.01,0.00,0,0.01,182,0,48,2025-11-26,1.77581,-0.00059,0.00003,-0.06540,0.00074,-0.00001
SPY251126C00510000,SPY,2025-11-26,510.00,call,0.00,170.13,168.72,10,171.54,10,0,0,2025-11-26,2.51726,0.98766,0.00036,-1.48569,0.01138,0.01373
SPY251126P00510000,SPY,2025-11-26,510.00,put,0.00,0.01,0.00,0,0.01,182,0,580,2025-11-26,1.71728,-0.00059,0.00003,-0.06369,0.00074,-0.00001
SPY251126C00515000,SPY,2025-11-26,515.00,call,0.00,165.12,163.72,2,166.53,10,0,0,2025-11-26,2.41970,0.98793,0.00036,-1.40514,0.01117,0.01387
SPY251126P00515000,SPY,2025-11-26,515.00,put,0.00,0.01,0.00,0,0.01,182,0,123,2025-11-26,1.65874,-0.00060,0.00004,-0.06174,0.00074,-0.00001
SPY251126C00520000,SPY,2025-11-26,520.00,call,158.56,160.13,158.72,2,161.54,10,4,0,2025-11-26,2.36116,0.98711,0.00040,-1.45013,0.01182,0.01399
SPY251126P00520000,SPY,2025-11-26,520.00,put,0.00,0.01,0.00,0,0.01,182,0,2,2025-11-26,1.60021,-0.00060,0.00004,-0.05955,0.00074,-0.00001
SPY251126C00525000,SPY,2025-11-26,525.00,call,157.32,155.12,153.72,2,156.53,10,7,1,2025-11-26,2.28312,0.98684,0.00042,-1.42881,0.01204,0.01413
SPY251126P00525000,SPY,2025-11-26,525.00,put,0.00,0.01,0.00,0,0.01,182,0,106,2025-11-26,1.56118,-0.00068,0.00004,-0.06570,0.00084,-0.00001
SPY251126C00530000,SPY,2025-11-26,530.00,call,152.36,150.12,148.72,2,151.53,10,3,0,2025-11-26,2.20507,0.98658,0.00044,-1.40507,0.01224,0.01426
SPY251126P00530000,SPY,2025-11-26,530.00,put,0.00,0.01,0.00,0,0.01,182,0,3274,2025-11-26,1.50265,-0.00068,0.00004,-0.06301,0.00084,-0.00001
SPY251126C00535000,SPY,2025-11-26,535.00,call,0.00,145.12,143.72,2,146.53,10,0,0,2025-11-26,2.12702,0.98633,0.00046,-1.37890,0.01244,0.01439
SPY251126P00535000,SPY,2025-11-26,535.00,put,0.00,0.01,0.00,0,0.01,182,0,414,2025-11-26,1.44411,-0.00067,0.00005,-0.06007,0.00083,-0.00001
SPY251126C00540000,SPY,2025-11-26,540.00,call,0.00,140.12,138.72,2,141.53,10,0,0,2025-11-26,2.06849,0.98537,0.00050,-1.42020,0.01319,0.01451
SPY251126P00540000,SPY,2025-11-26,540.00,put,0.00,0.01,0.00,0,0.01,182,0,9279,2025-11-26,1.40509,-0.00077,0.00005,-0.06629,0.00094,-0.00001
SPY251126C00545000,SPY,2025-11-26,545.00,call,136.44,135.12,133.72,2,136.53,10,1,0,2025-11-26,1.99044,0.98510,0.00053,-1.38984,0.01339,0.01464
SPY251126P00545000,SPY,2025-11-26,545.00,put,0.00,0.01,0.00,0,0.01,182,0,45,2025-11-26,1.34655,-0.00076,0.00005,-0.06278,0.00093,-0.00001
SPY251126C00550000,SPY,2025-11-26,550.00,call,131.48,130.12,128.72,2,131.52,10,7,0,2025-11-26,1.91239,0.98485,0.00056,-1.35692,0.01359,0.01477
SPY251126P00550000,SPY,2025-11-26,550.00,put,0.00,0.01,0.00,0,0.01,182,0,218,2025-11-26,1.28802,-0.00075,0.00006,-0.05901,0.00092,-0.00001
SPY251126C00555000,SPY,2025-11-26,555.00,call,126.16,125.12,123.72,10,126.53,10,16,0,2025-11-26,1.83435,0.98461,0.00059,-1.32141,0.01378,0.01491
SPY251126P00555000,SPY,2025-11-26,555.00,put,0.00,0.01,0.00,0,0.01,182,0,678,2025-11-26,1.24899,-0.00086,0.00007,-0.06518,0.00104,-0.00002
SPY251126C00560000,SPY,2025-11-26,560.00,call,0.00,120.12,118.72,10,121.53,10,0,0,2025-11-26,1.77581,0.98347,0.00065,-1.35842,0.01464,0.01502
SPY251126P00560000,SPY,2025-11-26,560.00,put,0.00,0.01,0.00,0,0.01,182,0,932,2025-11-26,1.19046,-0.00084,0.00007,-0.06077,0.00102,-0.00002
SPY251126C00565000,SPY,2025-11-26,565.00,call,0.00,115.12,113.72,2,116.53,10,0,0,2025-11-26,1.69776,0.98321,0.00069,-1.31838,0.01484,0.01515
SPY251126P00565000,SPY,2025-11-26,565.00,put,0.00,0.01,0.00,0,0.01,182,0,1160,2025-11-26,1.13192,-0.00082,0.00007,-0.05612,0.00099,-0.00002
SPY251126C00570000,SPY,2025-11-26,570.00,call,111.42,110.12,108.72,10,111.53,10,25,23,2025-11-26,1.63923,0.98192,0.00076,-1.35464,0.01581,0.01527
SPY251126P00570000,SPY,2025-11-26,570.00,put,0.00,0.01,0.00,0,0.01,182,0,1165,2025-11-26,1.09290,-0.00095,0.00008,-0.06210,0.00114,-0.00002
SPY251126C00575000,SPY,2025-11-26,575.00,call,94.19,105.12,103.72,2,106.53,10,0,0,2025-11-26,1.56118,0.98164,0.00081,-1.30990,0.01602,0.01540
SPY251126P00575000,SPY,2025-11-26,575.00,put,0.01,0.01,0.00,0,0.01,182,3,790,2025-11-26,1.03437,-0.00091,0.00008,-0.05673,0.00110,-0.00002
SPY251126C00580000,SPY,2025-11-26,580.00,call,0.00,100.12,98.72,2,101.53,10,0,0,2025-11-26,1.48313,0.98138,0.00086,-1.26237,0.01621,0.01553
SPY251126P00580000,SPY,2025-11-26,580.00,put,0.00,0.01,0.00,0,0.01,182,0,595,2025-11-26,0.99534,-0.00106,0.00010,-0.06294,0.00127,-0.00002
SPY251126C00585000,SPY,2025-11-26,585.00,call,0.00,95.12,93.72,10,96.53,10,0,0,2025-11-26,1.42460,0.97984,0.00096,-1.29594,0.01734,0.01564
SPY251126P00585000,SPY,2025-11-26,585.00,put,0.00,0.01,0.00,0,0.01,182,0,572,2025-11-26,0.93681,-0.00101,0.00010,-0.05678,0.00121,-0.00002
SPY251126C00590000,SPY,2025-11-26,590.00,call,0.00,90.12,88.72,10,91.53,10,0,0,2025-11-26,1.34655,0.97954,0.00103,-1.24347,0.01756,0.01577
SPY251126P00590000,SPY,2025-11-26,590.00,put,0.00,0.01,0.00,0,0.01,182,0,3674,2025-11-26,0.89778,-0.00120,0.00012,-0.06323,0.00141,-0.00002
SPY251126C00595000,SPY,2025-11-26,595.00,call,66.55,85.12,83.72,10,86.53,10,0,1,2025-11-26,1.28802,0.97773,0.00116,-1.27659,0.01887,0.01587
SPY251126P00595000,SPY,2025-11-26,595.00,put,0.01,0.01,0.00,0,0.01,182,3,1905,2025-11-26,0.83925,-0.00113,0.00013,-0.05620,0.00134,-0.00002
SPY251126C00600000,SPY,2025-11-26,600.00,call,80.24,80.12,78.72,10,81.53,10,15,52,2025-11-26,1.20997,0.97737,0.00125,-1.21906,0.01912,0.01600
SPY251126P00600000,SPY,2025-11-26,600.00,put,0.00,0.01,0.00,0,0.01,182,0,1017,2025-11-26,0.80022,-0.00135,0.00016,-0.06290,0.00157,-0.00003
SPY251126C00604000,SPY,2025-11-26,604.00,call,76.49,76.12,74.72,2,77.53,10,15,0,2025-11-26,1.15144,0.97674,0.00134,-1.18928,0.01957,0.01610
SPY251126P00604000,SPY,2025-11-26,604.00,put,0.01,0.01,0.00,0,0.01,182,5,803,2025-11-26,0.76120,-0.00142,0.00017,-0.06258,0.00165,-0.00003
SPY251126C00605000,SPY,2025-11-26,605.00,call,75.24,75.12,73.72,2,76.53,10,41,4,2025-11-26,1.15144,0.97518,0.00142,-1.25210,0.02066,0.01610
SPY251126P00605000,SPY,2025-11-26,605.00,put,0.01,0.01,0.00,0,0.01,182,1,12958,2025-11-26,0.74169,-0.00126,0.00016,-0.05491,0.00148,-0.00002
SPY251126C00606000,SPY,2025-11-26,606.00,call,74.49,74.12,72.72,10,75.53,10,44,0,2025-11-26,1.13192,0.97547,0.00143,-1.22078,0.02046,0.01613
SPY251126P00606000,SPY,2025-11-26,606.00,put,0.00,0.01,0.00,0,0.01,182,0,907,2025-11-26,0.74169,-0.00145,0.00018,-0.06238,0.00169,-0.00003
SPY251126C00607000,SPY,2025-11-26,607.00,call,73.24,73.12,71.72,2,74.53,10,9,0,2025-11-26,1.11241,0.97577,0.00144,-1.18940,0.02026,0.01617
SPY251126P00607000,SPY,2025-11-26,607.00,put,0.00,0.01,0.00,0,0.01,182,0,536,2025-11-26,0.72218,-0.00129,0.00017,-0.05456,0.00151,-0.00002
SPY251126C00608000,SPY,2025-11-26,608.00,call,72.49,72.12,70.72,2,73.53,10,19,0,2025-11-26,1.09290,0.97607,0.00145,-1.15797,0.02004,0.01620
SPY251126P00608000,SPY,2025-11-26,608.00,put,0.00,0.01,0.00,0,0.01,182,0,158,2025-11-26,0.72218,-0.00149,0.00019,-0.06215,0.00172,-0.00003
SPY251126C00609000,SPY,2025-11-26,609.00,call,72.20,71.12,69.72,10,72.53,10,17,0,2025-11-26,1.09290,0.97441,0.00153,-1.22153,0.02120,0.01620
SPY251126P00609000,SPY,2025-11-26,609.00,put,0.00,0.01,0.00,0,0.01,182,0,85,2025-11-26,0.70267,-0.00132,0.00017,-0.05418,0.00154,-0.00002
SPY251126C00610000,SPY,2025-11-26,610.00,call,70.22,70.12,68.72,2,71.52,10,34,34,2025-11-26,1.07339,0.97472,0.00154,-1.18945,0.02099,0.01623
SPY251126P00610000,SPY,2025-11-26,610.00,put,0.00,0.01,0.00,0,0.01,182,0,2826,2025-11-26,0.70267,-0.00153,0.00020,-0.06190,0.00176,-0.00003
SPY251126C00611000,SPY,2025-11-26,611.00,call,70.33,69.12,67.72,10,70.53,10,31,4,2025-11-26,1.05388,0.97504,0.00156,-1.15732,0.02077,0.01626
SPY251126P00611000,SPY,2025-11-26,611.00,put,0.00,0.01,0.00,0,0.01,182,0,19,2025-11-26,0.68315,-0.00135,0.00018,-0.05377,0.00158,-0.00003
SPY251126C00612000,SPY,2025-11-26,612.00,call,68.49,68.12,66.72,10,69.53,10,18,0,2025-11-26,1.05388,0.97326,0.00165,-1.22227,0.02200,0.01626
SPY251126P00612000,SPY,2025-11-26,612.00,put,0.00,0.01,0.00,0,0.01,182,0,121,2025-11-26,0.68315,-0.00157,0.00021,-0.06161,0.00181,-0.00003
SPY251126C00613000,SPY,2025-11-26,613.00,call,68.33,67.12,65.72,10,68.53,10,13,0,2025-11-26,1.03437,0.97358,0.00166,-1.18947,0.02178,0.01629
SPY251126P00613000,SPY,2025-11-26,613.00,put,0.00,0.01,0.00,0,0.01,182,0,62,2025-11-26,0.66364,-0.00138,0.00019,-0.05333,0.00161,-0.00003
SPY251126C00614000,SPY,2025-11-26,614.00,call,67.33,66.12,64.72,2,67.53,10,4,0,2025-11-26,1.01485,0.97391,0.00168,-1.15661,0.02155,0.01632
SPY251126P00614000,SPY,2025-11-26,614.00,put,0.01,0.01,0.00,0,0.01,182,6,274,2025-11-26,0.66364,-0.00161,0.00022,-0.06130,0.00185,-0.00003
